Frame,Track_ID,Class_ID,Confidence,BBox_X1,BBox_Y1,BBox_X2,BBox_Y2,FPS
344,,,,,,,,20.95
345,,,,,,,,44.23
346,,,,,,,,22.91
347,,,,,,,,21.2
348,,,,,,,,21.15
349,,,,,,,,23.96
350,,,,,,,,21.19
351,,,,,,,,21.15
352,3.0,0.0,0.6173,15.86,401.26,1626.39,1077.41,31.67
353,3.0,0.0,0.6387,15.74,387.06,1582.27,1079.41,21.14
354,3.0,0.0,0.6199,10.68,362.34,1584.51,1080.0,21.19
355,3.0,0.0,0.3563,4.97,359.84,1602.76,1080.0,23.34
356,3.0,0.0,0.2864,9.04,281.52,1617.39,1080.0,21.23
357,3.0,0.0,0.2323,4.64,233.72,1617.25,1080.0,31.44
358,3.0,0.0,0.454,6.69,222.74,1623.75,1080.0,21.0
359,3.0,0.0,0.6541,2.84,209.81,1621.35,1080.0,21.14
360,3.0,0.0,0.4303,0.68,226.4,1624.3,1080.0,21.16
361,3.0,0.0,0.5725,6.76,186.61,1629.24,1073.93,17.63
362,3.0,0.0,0.5116,12.3,197.38,1633.93,1077.69,21.02
363,3.0,0.0,0.6066,4.41,175.29,1644.94,1076.66,31.35
364,3.0,0.0,0.6233,1.21,160.34,1641.95,1073.08,24.34
365,3.0,0.0,0.6179,0.03,138.72,1696.67,1077.43,21.11
366,3.0,0.0,0.745,23.87,146.99,1753.34,1079.06,21.19
367,3.0,0.0,0.7769,12.11,142.59,1849.27,1079.75,17.26
368,3.0,0.0,0.8506,6.95,134.14,1900.31,1079.95,17.38
369,3.0,0.0,0.8199,2.37,133.73,1920.0,1080.0,17.46
370,3.0,0.0,0.8192,2.39,131.98,1920.0,1080.0,20.97
371,3.0,0.0,0.8148,0.55,105.48,1920.0,1080.0,17.28
372,3.0,0.0,0.7989,1.05,94.71,1907.56,1080.0,22.01
373,3.0,0.0,0.773,2.78,90.96,1910.16,1080.0,15.8
374,3.0,0.0,0.7948,0.97,72.3,1883.44,1080.0,21.81
375,3.0,0.0,0.7487,0.86,73.13,1706.33,1080.0,20.97
376,3.0,0.0,0.7221,3.32,165.26,1820.22,1079.98,20.75
377,3.0,0.0,0.7298,5.39,176.1,1741.17,1080.0,26.74
378,3.0,0.0,0.792,24.55,149.68,1824.58,1080.0,20.9
379,3.0,0.0,0.7703,35.16,168.77,1805.81,1080.0,20.89
380,3.0,0.0,0.7871,16.07,173.33,1841.73,1080.0,18.31
381,3.0,0.0,0.8289,11.29,118.47,1844.52,1080.0,21.15
