Frame,Track_ID,Class_ID,Confidence,BBox_X1,BBox_Y1,BBox_X2,BBox_Y2,FPS
268,1.0,0.0,0.7153,5.0,31.0,1859.0,790.0,2.88
269,1.0,0.0,0.7819,7.0,31.0,1854.0,794.0,2.98
270,1.0,0.0,0.7495,3.0,26.0,1880.0,795.0,3.83
271,1.0,0.0,0.7395,9.0,33.0,1888.0,811.0,3.29
272,1.0,0.0,0.7282,14.0,23.0,1897.0,818.0,3.63
273,1.0,0.0,0.6799,6.0,27.0,1904.0,821.0,3.44
274,1.0,0.0,0.6527,6.0,34.0,1909.0,822.0,3.35
275,1.0,0.0,0.6594,5.0,53.0,1885.0,798.0,2.93
276,1.0,0.0,0.709,6.0,32.0,1896.0,819.0,3.92
277,1.0,0.0,0.6686,12.0,98.0,1869.0,795.0,3.93
278,1.0,0.0,0.7232,34.0,73.0,1890.0,795.0,3.5
279,1.0,0.0,0.7074,30.0,54.0,1898.0,811.0,3.94
280,1.0,0.0,0.7091,29.0,34.0,1905.0,796.0,3.92
281,1.0,0.0,0.7611,19.0,36.0,1909.0,823.0,3.76
282,1.0,0.0,0.7327,9.0,32.0,1914.0,829.0,3.62
283,1.0,0.0,0.7745,12.0,32.0,1916.0,815.0,3.4
284,1.0,0.0,0.6876,29.0,32.0,1917.0,799.0,2.97
285,1.0,0.0,0.7167,41.0,37.0,1915.0,792.0,3.59
286,1.0,0.0,0.685,38.0,50.0,1915.0,797.0,3.58
287,1.0,0.0,0.6818,56.0,61.0,1915.0,796.0,3.79
288,1.0,0.0,0.6995,59.0,67.0,1915.0,796.0,3.5
289,1.0,0.0,0.7197,80.0,59.0,1917.0,804.0,3.71
290,1.0,0.0,0.7394,55.0,45.0,1918.0,816.0,3.75
291,1.0,0.0,0.7501,108.0,30.0,1919.0,851.0,3.29
292,1.0,0.0,0.7704,128.0,22.0,1920.0,839.0,3.54
293,1.0,0.0,0.7107,147.0,21.0,1919.0,841.0,3.26
294,1.0,0.0,0.7104,152.0,26.0,1919.0,843.0,3.17
295,1.0,0.0,0.6998,141.0,41.0,1920.0,823.0,2.76
296,1.0,0.0,0.7094,151.0,73.0,1917.0,826.0,3.88
297,1.0,0.0,0.7494,165.0,53.0,1919.0,853.0,3.9
298,1.0,0.0,0.6996,135.0,53.0,1919.0,811.0,3.68
299,1.0,0.0,0.7683,136.0,73.0,1919.0,840.0,3.78
300,,,,,,,,3.55
301,,,,,,,,3.56
302,,,,,,,,3.8
303,,,,,,,,3.54
304,,,,,,,,3.7
305,,,,,,,,3.76
306,,,,,,,,3.99
307,,,,,,,,4.02
308,,,,,,,,3.96
309,,,,,,,,3.81
310,,,,,,,,3.63
311,,,,,,,,3.38
312,,,,,,,,3.45
313,,,,,,,,3.28
314,,,,,,,,3.47
315,,,,,,,,3.53
316,,,,,,,,4.13
317,,,,,,,,3.65
318,,,,,,,,3.88
319,,,,,,,,3.59
320,,,,,,,,2.8
321,,,,,,,,2.79
322,,,,,,,,3.93
323,,,,,,,,4.15
324,,,,,,,,4.13
325,,,,,,,,4.15
326,,,,,,,,4.56
327,,,,,,,,4.12
328,,,,,,,,4.16
329,,,,,,,,3.62
330,,,,,,,,3.8
331,,,,,,,,3.46
332,,,,,,,,3.64
333,,,,,,,,3.28
334,,,,,,,,3.3
335,,,,,,,,3.83
336,,,,,,,,3.48
337,,,,,,,,3.6
338,,,,,,,,3.95
339,,,,,,,,2.79
340,,,,,,,,2.95
341,,,,,,,,2.83
342,,,,,,,,4.38
343,,,,,,,,4.03
344,,,,,,,,3.7
345,,,,,,,,4.08
346,,,,,,,,4.03
347,,,,,,,,4.08
348,,,,,,,,4.09
349,,,,,,,,3.74
350,,,,,,,,3.72
351,,,,,,,,3.49
352,3.0,0.0,0.6173,15.0,401.0,1626.0,1077.0,3.79
353,3.0,0.0,0.6387,15.0,387.0,1582.0,1079.0,3.4
354,3.0,0.0,0.6199,10.0,362.0,1584.0,1080.0,3.1
355,3.0,0.0,0.3563,4.0,359.0,1602.0,1080.0,3.37
356,3.0,0.0,0.2864,9.0,281.0,1617.0,1080.0,3.68
357,3.0,0.0,0.2323,4.0,233.0,1617.0,1080.0,3.74
358,3.0,0.0,0.454,6.0,222.0,1623.0,1080.0,3.62
359,3.0,0.0,0.6541,2.0,209.0,1621.0,1080.0,3.76
360,3.0,0.0,0.4303,0.0,226.0,1624.0,1080.0,3.56
361,3.0,0.0,0.5725,6.0,186.0,1629.0,1073.0,3.23
362,3.0,0.0,0.5116,12.0,197.0,1633.0,1077.0,3.38
